,Customer,State,Coverage,Education,Job_Status,Gender,Income,Location,Civil_Status,Monthly_Price,Months_LastClaim,Months_SinceActivation,Number_Open_Complaints,Number_Insurances,Policy_Type,Sales_Channel,Car_Type,Car_Size
2511,YI89801,California,Basic,High School or Below,Employed,F,49304,Suburban,Single,65,28,48,0,1,Corporate Auto,Agent,Four-Door Car,Medsize
2512,KB53430,Oregon,Basic,High School or Below,Retired,M,27972,Suburban,Married,61,7,38,0,1,Personal Auto,Web,Four-Door Car,Medsize
2513,KB50999,California,Basic,College,Employed,F,27568,Urban,Married,68,0,62,0,3,Personal Auto,Call Center,Two-Door Car,Medsize
2514,JO17193,Washington,Basic,Bachelor,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Personal Auto,Agent,Four-Door Car,Large
2515,BO42776,Washington,Basic,Bachelor,Employed,M,21442,Suburban,Married,108,16,83,0,2,Corporate Auto,Agent,SUV,Medsize
2516,OZ19432,Nevada,Premium,High School or Below,Employed,F,34516,Rural,Married,113,12,70,3,1,Special Auto,Branch,Four-Door Car,Medsize
2517,VT34834,Nevada,Basic,High School or Below,Unemployed,M,0,Suburban,Married,68,11,90,0,4,Personal Auto,Branch,Four-Door Car,Small
2518,MI65698,Oregon,Premium,College,Employed,F,28354,Urban,Divorced,118,33,20,0,1,Personal Auto,Agent,Two-Door Car,Large
2519,IG85969,Arizona,Basic,College,Unemployed,F,0,Suburban,Single,72,22,58,0,5,Personal Auto,Call Center,Two-Door Car,Large
2520,SE72928,California,Basic,Master,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Agent,Sports Car,Medsize
2521,QV47358,Arizona,Basic,Bachelor,Employed,F,32021,Suburban,Single,70,12,58,0,2,Personal Auto,Call Center,Four-Door Car,Small
2522,HR50405,Oregon,Basic,Bachelor,Medical Leave,F,13393,Rural,Married,73,31,11,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2523,MN53151,Oregon,Basic,College,Retired,M,13624,Suburban,Divorced,117,4,11,0,2,Personal Auto,Agent,Sports Car,Medsize
2524,VD64777,Nevada,Basic,College,Employed,F,27800,Suburban,Single,67,9,78,0,1,Personal Auto,Web,Two-Door Car,Medsize
2525,EG21289,California,Basic,College,Employed,F,58419,Rural,Married,191,29,6,0,1,Personal Auto,Call Center,Luxury Car,Medsize
2526,YI85251,Nevada,Extended,High School or Below,Employed,M,50407,Urban,Married,92,30,67,0,2,Personal Auto,Agent,Four-Door Car,Medsize
2527,RD61361,Arizona,Extended,Bachelor,Unemployed,F,0,Suburban,Single,84,0,76,0,4,Personal Auto,Branch,Four-Door Car,Large
2528,PG26401,Washington,Basic,High School or Below,Employed,M,77603,Suburban,Married,114,10,83,0,8,Personal Auto,Call Center,SUV,Medsize
2529,NV91476,California,Premium,College,Employed,F,75606,Suburban,Married,119,6,97,0,7,Personal Auto,Web,Four-Door Car,Medsize
2530,SJ16410,Arizona,Extended,Bachelor,Employed,M,41458,Rural,Single,98,6,67,0,3,Personal Auto,Agent,Four-Door Car,Medsize
2531,BI17208,Oregon,Basic,College,Unemployed,M,0,Suburban,Married,74,6,61,0,1,Personal Auto,Call Center,Two-Door Car,Medsize
2532,WR70403,Washington,Extended,High School or Below,Unemployed,M,0,Suburban,Divorced,82,13,87,0,7,Personal Auto,Agent,Two-Door Car,Medsize
2533,ZZ22858,Arizona,Basic,Bachelor,Employed,F,70619,Rural,Married,187,2,84,0,3,Personal Auto,Branch,Luxury Car,Medsize
2534,EZ75048,California,Extended,Doctor,Employed,M,41273,Urban,Married,77,16,19,0,1,Personal Auto,Call Center,Four-Door Car,Medsize
2535,CN31328,Arizona,Basic,College,Employed,F,46946,Suburban,Divorced,70,10,37,0,9,Personal Auto,Web,Four-Door Car,Medsize
2536,ZP91150,Oregon,Premium,College,Unemployed,M,0,Suburban,Single,113,10,97,0,9,Corporate Auto,Web,Four-Door Car,Medsize
2537,LC77957,Oregon,Basic,Bachelor,Employed,M,99180,Rural,Married,106,15,20,0,3,Personal Auto,Branch,SUV,Small
2538,PT34656,California,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,Personal Auto,Agent,Four-Door Car,Medsize
2539,MI99404,California,Basic,College,Retired,M,28215,Suburban,Single,65,15,26,0,3,Personal Auto,Agent,Two-Door Car,Medsize
2540,AI58313,Nevada,Basic,College,Employed,F,75425,Suburban,Divorced,116,25,88,1,2,Personal Auto,Call Center,Sports Car,Medsize
2541,VA60020,Nevada,Extended,High School or Below,Employed,F,63583,Rural,Married,83,15,8,0,1,Special Auto,Agent,Four-Door Car,Medsize
2542,TW53467,California,Basic,Bachelor,Unemployed,M,0,Suburban,Single,66,27,28,0,3,Personal Auto,Agent,Four-Door Car,Small
2543,IC11062,Nevada,Extended,High School or Below,Employed,F,37995,Suburban,Married,139,16,50,0,1,Personal Auto,Branch,SUV,Medsize
2544,OO11531,Nevada,Basic,Master,Employed,F,37125,Urban,Married,63,29,78,0,1,Personal Auto,Agent,Four-Door Car,Large
2545,JV80614,California,Basic,College,Employed,M,53357,Rural,Married,73,4,77,0,1,Personal Auto,Call Center,Four-Door Car,Medsize
2546,IC70693,California,Basic,Bachelor,Employed,F,70140,Suburban,Married,199,25,15,0,7,Corporate Auto,Web,Luxury Car,Medsize
2547,JY45326,Oregon,Basic,College,Employed,M,52380,Suburban,Married,186,27,76,2,1,Personal Auto,Call Center,Luxury SUV,Small
2548,QW17940,California,Basic,High School or Below,Employed,M,79292,Rural,Married,67,18,58,0,1,Corporate Auto,Branch,Four-Door Car,Medsize
2549,AV25133,Oregon,Extended,College,Unemployed,F,0,Suburban,Single,92,31,24,1,1,Personal Auto,Web,Two-Door Car,Small
2550,QJ57215,Nevada,Extended,College,Unemployed,F,0,Suburban,Single,123,14,97,0,1,Personal Auto,Branch,SUV,Medsize
2551,IG94072,Oregon,Extended,High School or Below,Employed,F,75425,Suburban,Married,123,3,49,0,6,Personal Auto,Branch,Sports Car,Large
2552,WC28543,Arizona,Basic,Bachelor,Disabled,M,20992,Suburban,Married,64,21,73,0,1,Personal Auto,Call Center,Two-Door Car,Medsize
2553,DH13219,Washington,Extended,Bachelor,Employed,M,57428,Suburban,Married,85,34,40,1,1,Corporate Auto,Call Center,Four-Door Car,Medsize
2554,ET80689,California,Basic,College,Employed,M,92606,Urban,Married,109,26,75,0,3,Special Auto,Branch,SUV,Medsize
2555,JD10245,California,Basic,High School or Below,Employed,M,86001,Suburban,Divorced,109,4,27,1,1,Personal Auto,Agent,SUV,Medsize
2556,XO96556,Arizona,Basic,Master,Employed,M,79751,Suburban,Married,63,15,67,0,1,Personal Auto,Web,Two-Door Car,Small
2557,UJ61336,Arizona,Basic,Bachelor,Employed,F,68654,Urban,Married,71,32,21,2,9,Personal Auto,Web,Four-Door Car,Medsize
2558,XS94482,Arizona,Basic,Master,Unemployed,F,0,Urban,Single,61,7,71,3,9,Personal Auto,Web,Two-Door Car,Medsize
2559,QX57337,Oregon,Basic,Doctor,Employed,F,92629,Rural,Single,72,22,1,3,1,Personal Auto,Call Center,Four-Door Car,Medsize
2560,CZ35936,California,Basic,High School or Below,Employed,F,54094,Urban,Single,112,9,51,0,4,Corporate Auto,Agent,SUV,Medsize
2561,IM41800,Nevada,Basic,College,Employed,M,95419,Suburban,Married,70,6,61,3,2,Personal Auto,Web,Four-Door Car,Medsize
2562,GI70742,Oregon,Basic,High School or Below,Employed,F,66466,Urban,Married,71,20,35,0,2,Personal Auto,Call Center,Four-Door Car,Medsize
2563,HQ32112,Arizona,Extended,High School or Below,Employed,M,68131,Rural,Married,130,22,27,0,1,Personal Auto,Branch,SUV,Medsize
2564,CC85895,Nevada,Basic,Bachelor,Employed,F,56481,Urban,Married,106,7,17,0,3,Personal Auto,Branch,SUV,Medsize
2565,CF40646,California,Basic,College,Employed,M,70082,Suburban,Married,119,17,23,0,1,Personal Auto,Web,SUV,Small
2566,RF39856,Nevada,Basic,Bachelor,Employed,M,51437,Rural,Married,115,35,30,0,2,Corporate Auto,Branch,SUV,Medsize
2567,VT85216,Nevada,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,6,97,0,9,Personal Auto,Agent,Four-Door Car,Medsize
2568,SW69117,Oregon,Extended,College,Disabled,M,27972,Urban,Married,90,13,7,0,8,Corporate Auto,Call Center,Two-Door Car,Medsize
2569,EI58852,Arizona,Extended,High School or Below,Employed,F,24930,Suburban,Married,76,7,16,0,2,Personal Auto,Branch,Four-Door Car,Medsize
2570,FN61865,Nevada,Premium,Master,Employed,F,26245,Rural,Single,110,6,43,0,1,Personal Auto,Call Center,Two-Door Car,Medsize
2571,LI11560,California,Basic,Bachelor,Employed,F,57883,Suburban,Married,69,4,0,0,9,Personal Auto,Agent,Four-Door Car,Small
2572,NY12562,Nevada,Basic,College,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Branch,Four-Door Car,Medsize
2573,GE46404,Oregon,Basic,College,Employed,F,58828,Suburban,Married,68,13,98,0,1,Personal Auto,Agent,Four-Door Car,Small
2574,PP26786,Arizona,Basic,College,Employed,M,51906,Suburban,Married,73,29,78,0,1,Corporate Auto,Branch,Four-Door Car,Medsize
2575,BE55425,Oregon,Extended,College,Employed,M,28095,Suburban,Married,82,18,2,0,8,Personal Auto,Web,Four-Door Car,Medsize
2576,SH75038,California,Basic,Bachelor,Employed,F,88723,Suburban,Divorced,74,12,94,0,8,Personal Auto,Agent,Two-Door Car,Medsize
2577,LD22387,California,Extended,High School or Below,Employed,F,53078,Urban,Married,79,29,81,2,8,Corporate Auto,Branch,Four-Door Car,Medsize
2578,FF94034,California,Basic,Bachelor,Employed,F,88895,Rural,Divorced,106,0,87,0,8,Personal Auto,Branch,Sports Car,Medsize
2579,YK16362,Arizona,Extended,Bachelor,Employed,F,60078,Rural,Married,127,23,60,0,3,Corporate Auto,Branch,SUV,Medsize
2580,DN10177,California,Basic,College,Unemployed,M,0,Suburban,Single,67,26,4,0,3,Personal Auto,Call Center,Two-Door Car,Medsize
2581,IV35546,Nevada,Basic,Master,Employed,F,45820,Urban,Married,71,4,89,0,8,Corporate Auto,Branch,Four-Door Car,Medsize
2582,SK12432,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,12,84,0,1,Personal Auto,Web,Four-Door Car,Medsize
2583,DF71709,California,Premium,College,Medical Leave,M,12439,Suburban,Divorced,115,22,78,0,2,Corporate Auto,Agent,Two-Door Car,Medsize
2584,UT61518,California,Basic,Bachelor,Employed,M,25998,Suburban,Married,71,16,38,0,2,Personal Auto,Call Center,Four-Door Car,Medsize
2585,PU75847,Arizona,Basic,College,Employed,M,98451,Suburban,Married,62,19,57,0,3,Personal Auto,Agent,Four-Door Car,Small
2586,XA47378,California,Basic,Bachelor,Employed,F,23803,Suburban,Married,72,11,90,0,1,Corporate Auto,Branch,Two-Door Car,Small
2587,NE22677,California,Extended,College,Unemployed,M,0,Suburban,Divorced,124,12,58,0,2,Special Auto,Web,SUV,Small
2588,HV62406,Oregon,Basic,High School or Below,Disabled,F,26100,Suburban,Single,67,6,29,0,1,Personal Auto,Agent,Four-Door Car,Medsize
2589,VS20668,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,8,63,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2590,YZ79232,Oregon,Basic,Master,Unemployed,M,0,Urban,Single,67,10,38,0,9,Personal Auto,Web,Four-Door Car,Medsize
2591,ND87457,Nevada,Extended,Bachelor,Employed,M,65252,Suburban,Divorced,78,27,75,0,9,Personal Auto,Branch,Four-Door Car,Medsize
2592,TY59231,California,Extended,Bachelor,Employed,F,48567,Suburban,Single,130,12,15,0,1,Personal Auto,Agent,SUV,Medsize
2593,DA54619,Oregon,Premium,High School or Below,Employed,F,34337,Suburban,Married,113,20,44,0,9,Personal Auto,Web,Four-Door Car,Large
2594,OL27257,Nevada,Premium,College,Medical Leave,F,20394,Urban,Married,115,28,84,0,1,Personal Auto,Branch,Two-Door Car,Medsize
2595,TH86528,Washington,Extended,High School or Below,Unemployed,F,0,Suburban,Single,76,20,17,0,6,Personal Auto,Call Center,Two-Door Car,Small
2596,DS34823,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Agent,Four-Door Car,Small
2597,HB24005,California,Basic,College,Employed,M,31617,Urban,Single,62,17,29,1,1,Personal Auto,Agent,Four-Door Car,Small
2598,ZV96574,California,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,31,30,1,2,Corporate Auto,Branch,Four-Door Car,Medsize
2599,JC80093,Washington,Basic,Master,Employed,M,21104,Rural,Divorced,66,34,74,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2600,KN24990,Arizona,Basic,College,Employed,M,37748,Suburban,Married,181,21,22,2,2,Personal Auto,Web,Luxury Car,Small
2601,RR39751,California,Extended,Bachelor,Unemployed,F,0,Urban,Married,96,19,30,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2602,BN80677,Oregon,Extended,Bachelor,Employed,M,25023,Suburban,Single,82,31,38,0,2,Corporate Auto,Branch,Two-Door Car,Medsize
2603,WL74893,Oregon,Basic,College,Unemployed,F,0,Urban,Married,62,22,57,0,9,Special Auto,Agent,Four-Door Car,Medsize
2604,ZN59196,Oregon,Premium,Bachelor,Medical Leave,F,14108,Suburban,Married,109,27,88,0,1,Personal Auto,Call Center,Four-Door Car,Small
2605,PF77449,Washington,Extended,High School or Below,Employed,F,23923,Suburban,Married,82,29,61,1,2,Personal Auto,Call Center,Four-Door Car,Medsize
2606,HO38996,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Married,67,1,19,0,1,Special Auto,Call Center,Four-Door Car,Medsize
2607,YU86361,Washington,Extended,Master,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Agent,Luxury SUV,Medsize
2608,PJ13204,California,Extended,High School or Below,Unemployed,F,0,Suburban,Married,89,10,83,0,1,Corporate Auto,Call Center,Two-Door Car,Large
2609,SP63623,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,69,31,89,0,5,Personal Auto,Agent,Four-Door Car,Large
2610,DP33625,Arizona,Basic,College,Employed,M,50825,Urban,Married,102,3,46,0,3,Personal Auto,Agent,SUV,Medsize
2611,BJ18904,Arizona,Basic,College,Medical Leave,M,14616,Suburban,Married,106,16,23,0,1,Personal Auto,Agent,SUV,Small
2612,TR26615,Oregon,Basic,High School or Below,Unemployed,M,0,Urban,Married,69,5,74,0,1,Corporate Auto,Branch,Two-Door Car,Medsize
2613,ZD44648,Arizona,Extended,College,Employed,M,29504,Suburban,Single,125,16,29,0,9,Personal Auto,Web,SUV,Medsize
2614,QW60568,California,Premium,College,Employed,M,58789,Rural,Married,111,4,69,0,3,Corporate Auto,Call Center,Four-Door Car,Medsize
2615,XS78545,Oregon,Basic,College,Employed,F,29491,Suburban,Married,61,26,62,0,2,Personal Auto,Web,Four-Door Car,Medsize
2616,EU19773,Arizona,Premium,High School or Below,Employed,F,78077,Urban,Married,107,11,47,2,6,Personal Auto,Branch,Four-Door Car,Medsize
2617,ZL45417,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,96,2,53,0,1,Personal Auto,Agent,Two-Door Car,Small
2618,JS58659,Nevada,Basic,Bachelor,Employed,M,76558,Urban,Married,74,2,45,0,2,Special Auto,Agent,Four-Door Car,Medsize
2619,XK84089,California,Basic,Bachelor,Employed,M,78618,Urban,Divorced,66,7,56,0,1,Personal Auto,Agent,Two-Door Car,Medsize
2620,LH91968,Oregon,Basic,Bachelor,Employed,M,82664,Rural,Married,114,24,10,3,9,Corporate Auto,Agent,SUV,Medsize
2621,NX63627,Oregon,Extended,Doctor,Medical Leave,M,23053,Suburban,Married,132,5,97,0,8,Personal Auto,Agent,Sports Car,Medsize
2622,ND62955,Nevada,Basic,Bachelor,Employed,M,50250,Suburban,Married,117,3,93,0,1,Personal Auto,Agent,SUV,Medsize
2623,YQ11786,Oregon,Basic,High School or Below,Employed,M,32169,Urban,Married,199,0,74,0,1,Personal Auto,Call Center,Luxury SUV,Medsize
2624,TM13955,Washington,Extended,Master,Unemployed,M,0,Urban,Married,80,28,97,0,1,Corporate Auto,Branch,Four-Door Car,Medsize
2625,IA91291,Arizona,Basic,College,Employed,F,99069,Rural,Married,66,7,28,0,2,Corporate Auto,Branch,Four-Door Car,Medsize
2626,RO89785,Oregon,Extended,College,Medical Leave,M,20978,Suburban,Married,98,19,96,1,1,Personal Auto,Branch,Four-Door Car,Small
2627,QW40898,Arizona,Basic,College,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Personal Auto,Call Center,Four-Door Car,Medsize
2628,ZD40816,Nevada,Basic,Bachelor,Employed,M,42297,Urban,Married,71,29,62,0,1,Personal Auto,Agent,Four-Door Car,Medsize
2629,PD82395,Arizona,Premium,Bachelor,Unemployed,F,0,Suburban,Married,115,0,3,0,3,Special Auto,Branch,Four-Door Car,Small
2630,NW23827,California,Basic,College,Unemployed,F,0,Rural,Married,63,21,23,0,7,Personal Auto,Agent,Four-Door Car,Medsize
2631,GG61186,Nevada,Premium,Doctor,Unemployed,F,0,Rural,Married,110,22,72,0,9,Personal Auto,Agent,Four-Door Car,Medsize
2632,TB31268,Arizona,Basic,College,Employed,F,48990,Suburban,Married,74,3,20,0,2,Personal Auto,Web,Four-Door Car,Medsize
2633,SX98462,Oregon,Basic,College,Disabled,M,16916,Suburban,Married,64,31,31,0,2,Personal Auto,Agent,Four-Door Car,Medsize
2634,OL82456,Oregon,Basic,Bachelor,Disabled,M,18375,Suburban,Married,103,8,50,0,1,Personal Auto,Branch,Sports Car,Large
2635,DN14211,Oregon,Basic,College,Medical Leave,M,17150,Suburban,Married,65,28,19,0,2,Personal Auto,Agent,Two-Door Car,Medsize
2636,ZG12619,Washington,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Call Center,Four-Door Car,Medsize
2637,VH31071,Arizona,Basic,College,Disabled,F,21947,Suburban,Married,118,30,76,0,9,Personal Auto,Call Center,SUV,Large
2638,SP36555,Arizona,Extended,Bachelor,Unemployed,M,0,Suburban,Single,97,4,11,0,4,Personal Auto,Agent,Four-Door Car,Medsize
2639,ME83611,Nevada,Basic,Bachelor,Employed,F,89451,Rural,Single,63,11,2,0,1,Personal Auto,Web,Four-Door Car,Medsize
2640,PH85036,Washington,Basic,Bachelor,Employed,F,79325,Urban,Married,68,4,31,0,4,Corporate Auto,Agent,Four-Door Car,Medsize
2641,PE54870,Oregon,Basic,College,Employed,M,88454,Urban,Divorced,101,8,89,0,1,Personal Auto,Web,SUV,Medsize
2642,DT52189,California,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,87,2,41,0,3,Personal Auto,Call Center,Four-Door Car,Medsize
2643,XN48526,California,Basic,College,Medical Leave,F,20943,Urban,Married,69,0,86,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2644,KW52227,California,Basic,Bachelor,Employed,M,51972,Suburban,Married,66,19,22,0,2,Personal Auto,Web,Four-Door Car,Medsize
2645,JC98569,Oregon,Extended,College,Employed,F,54408,Urban,Married,79,29,17,0,4,Personal Auto,Branch,Four-Door Car,Medsize
2646,BG48083,Nevada,Extended,Bachelor,Employed,F,23751,Suburban,Single,82,4,9,1,7,Personal Auto,Web,Two-Door Car,Medsize
2647,PD19551,California,Basic,Bachelor,Employed,F,37612,Suburban,Divorced,64,0,32,0,1,Personal Auto,Call Center,Four-Door Car,Small
2648,BJ13380,Oregon,Basic,Bachelor,Employed,F,91603,Suburban,Single,69,4,92,2,3,Personal Auto,Agent,Four-Door Car,Small
2649,HY25004,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,12,53,0,3,Personal Auto,Call Center,Two-Door Car,Medsize
2650,WF50693,Oregon,Extended,High School or Below,Disabled,M,16450,Suburban,Married,128,6,81,0,1,Corporate Auto,Branch,SUV,Medsize
2651,MA45099,Oregon,Extended,Bachelor,Employed,M,50864,Rural,Married,83,18,86,1,4,Corporate Auto,Agent,Four-Door Car,Medsize
2652,ZC69696,Arizona,Basic,College,Employed,F,74560,Suburban,Divorced,110,31,20,0,2,Personal Auto,Branch,SUV,Medsize
2653,VO43359,California,Basic,High School or Below,Employed,M,62488,Urban,Married,62,35,47,2,1,Personal Auto,Call Center,Four-Door Car,Medsize
2654,OM63954,California,Premium,Bachelor,Employed,F,55837,Suburban,Single,117,16,35,0,9,Personal Auto,Agent,Two-Door Car,Medsize
2655,GV71044,Oregon,Basic,College,Unemployed,F,0,Suburban,Single,66,12,71,0,1,Personal Auto,Agent,Two-Door Car,Medsize
2656,TM79451,California,Basic,College,Employed,F,97742,Rural,Single,67,33,57,0,5,Personal Auto,Agent,Four-Door Car,Small
2657,PA84292,Oregon,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,13,75,0,1,Personal Auto,Agent,Four-Door Car,Medsize
2658,QX67584,Nevada,Basic,High School or Below,Employed,F,64125,Urban,Married,108,3,44,0,3,Personal Auto,Branch,SUV,Large
2659,JK90180,Arizona,Basic,College,Unemployed,M,0,Suburban,Single,62,22,39,0,6,Personal Auto,Branch,Four-Door Car,Medsize
2660,BH35482,Washington,Basic,Doctor,Employed,M,70412,Rural,Married,61,27,12,0,3,Corporate Auto,Web,Two-Door Car,Medsize
2661,VU84949,Washington,Basic,Bachelor,Unemployed,F,0,Suburban,Married,70,13,8,0,3,Personal Auto,Branch,Two-Door Car,Medsize
2662,SF46129,California,Premium,High School or Below,Employed,M,66267,Suburban,Married,111,23,95,0,3,Personal Auto,Web,Four-Door Car,Small
2663,OH35544,Nevada,Extended,College,Unemployed,F,0,Suburban,Single,82,14,23,0,6,Corporate Auto,Agent,Four-Door Car,Medsize
2664,ZF82387,Oregon,Extended,High School or Below,Employed,M,40882,Urban,Divorced,89,6,17,0,2,Corporate Auto,Branch,Two-Door Car,Large
2665,MD40054,Oregon,Extended,High School or Below,Employed,M,34498,Suburban,Single,83,30,72,0,7,Personal Auto,Branch,Two-Door Car,Small
2666,LE96510,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Married,74,0,52,0,1,Personal Auto,Call Center,Four-Door Car,Small
2667,MC11907,California,Basic,High School or Below,Medical Leave,F,23228,Suburban,Married,64,4,0,1,6,Corporate Auto,Agent,Four-Door Car,Medsize
2668,DA57177,Oregon,Basic,College,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Agent,SUV,Medsize
2669,SU77646,Oregon,Basic,Master,Employed,M,46133,Rural,Divorced,73,7,78,0,5,Personal Auto,Branch,Four-Door Car,Large
2670,YZ19736,Arizona,Basic,College,Employed,M,46900,Suburban,Married,66,13,59,0,1,Personal Auto,Web,Four-Door Car,Medsize
2671,JZ69749,Washington,Extended,High School or Below,Unemployed,F,0,Suburban,Single,92,1,17,0,6,Personal Auto,Agent,Four-Door Car,Medsize
2672,BJ22117,Washington,Basic,Master,Employed,M,53390,Urban,Married,64,13,41,0,5,Personal Auto,Branch,Four-Door Car,Medsize
2673,UQ60825,California,Basic,College,Employed,F,99185,Urban,Married,115,8,19,0,3,Corporate Auto,Call Center,SUV,Medsize
2674,ZZ89380,Oregon,Extended,Bachelor,Employed,F,62815,Rural,Married,80,14,84,0,1,Special Auto,Call Center,Two-Door Car,Large
2675,LU87443,Oregon,Basic,College,Employed,F,26277,Suburban,Single,61,17,30,0,4,Personal Auto,Branch,Four-Door Car,Medsize
2676,DG33206,Washington,Premium,Doctor,Employed,F,41854,Urban,Married,110,17,44,0,8,Personal Auto,Agent,Four-Door Car,Medsize
2677,AB98823,Arizona,Extended,College,Unemployed,M,0,Suburban,Married,86,4,56,0,8,Personal Auto,Web,Two-Door Car,Medsize
2678,MS34991,Arizona,Extended,High School or Below,Employed,M,66627,Suburban,Married,85,32,55,0,8,Personal Auto,Branch,Four-Door Car,Medsize
2679,EE53627,Oregon,Basic,High School or Below,Disabled,M,12131,Urban,Single,64,32,60,1,1,Personal Auto,Call Center,Four-Door Car,Medsize
2680,XY39691,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,110,4,61,0,1,Personal Auto,Web,SUV,Medsize
2681,ZU96776,California,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,4,18,0,5,Personal Auto,Call Center,Two-Door Car,Large
2682,FF84784,California,Basic,College,Employed,M,33317,Suburban,Married,72,18,31,1,3,Personal Auto,Agent,Two-Door Car,Medsize
2683,QT90140,Arizona,Basic,Doctor,Employed,F,68931,Urban,Married,66,32,30,0,7,Personal Auto,Branch,Four-Door Car,Medsize
2684,TO71844,Oregon,Basic,College,Unemployed,M,0,Suburban,Single,67,6,60,1,1,Personal Auto,Branch,Four-Door Car,Large
2685,HV69023,California,Basic,High School or Below,Medical Leave,F,19189,Suburban,Married,108,21,9,0,3,Personal Auto,Web,SUV,Large
2686,RE32481,California,Basic,Master,Employed,F,49390,Urban,Married,195,31,15,0,1,Personal Auto,Call Center,Luxury Car,Medsize
2687,CA79988,Oregon,Basic,College,Employed,M,33124,Rural,Single,67,35,7,0,1,Personal Auto,Call Center,Four-Door Car,Large
2688,DO48071,California,Basic,College,Employed,F,40516,Rural,Married,70,21,31,0,1,Personal Auto,Web,Two-Door Car,Small
2689,MW48891,Washington,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Web,Sports Car,Medsize
2690,JC37277,Oregon,Extended,College,Employed,M,34615,Suburban,Married,87,6,73,0,7,Personal Auto,Agent,Four-Door Car,Medsize
2691,YU80673,California,Basic,College,Disabled,F,29894,Rural,Married,72,9,69,4,3,Personal Auto,Agent,Four-Door Car,Large
2692,BV69462,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Single,79,32,2,0,3,Corporate Auto,Branch,Two-Door Car,Medsize
2693,DW86238,Washington,Extended,High School or Below,Unemployed,M,0,Suburban,Single,84,32,96,0,4,Personal Auto,Web,Four-Door Car,Medsize
2694,BQ51616,Oregon,Basic,High School or Below,Employed,F,86732,Rural,Married,180,0,95,0,1,Personal Auto,Call Center,Luxury SUV,Medsize
2695,XX89213,Nevada,Extended,Master,Employed,F,68516,Rural,Married,216,17,0,0,1,Corporate Auto,Branch,Luxury SUV,Medsize
2696,JC96695,California,Basic,Doctor,Employed,M,31562,Suburban,Married,115,14,6,0,3,Personal Auto,Call Center,SUV,Medsize
2697,RN55306,Oregon,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,33,92,0,4,Personal Auto,Agent,Four-Door Car,Medsize
2698,WH36609,Arizona,Extended,Bachelor,Employed,F,24477,Suburban,Married,79,15,32,0,3,Personal Auto,Call Center,Four-Door Car,Small
2699,UO43395,Oregon,Basic,Master,Unemployed,M,0,Suburban,Single,100,31,80,0,1,Personal Auto,Agent,SUV,Medsize
2700,DS32060,California,Extended,College,Employed,M,20046,Suburban,Married,87,15,59,0,3,Personal Auto,Web,Two-Door Car,Medsize
2701,LK51056,Arizona,Basic,Bachelor,Employed,M,78152,Suburban,Married,114,18,35,0,1,Corporate Auto,Branch,SUV,Medsize
2702,PX71218,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Married,65,7,47,0,2,Personal Auto,Branch,Four-Door Car,Large
2703,NS19456,Oregon,Basic,College,Employed,F,36067,Suburban,Married,117,30,78,0,3,Personal Auto,Branch,Sports Car,Large
2704,MR60878,Oregon,Basic,Bachelor,Employed,F,44362,Rural,Married,66,15,75,0,2,Corporate Auto,Call Center,Four-Door Car,Small
2705,MB32944,Nevada,Basic,Master,Employed,M,77350,Suburban,Divorced,66,11,4,0,1,Personal Auto,Branch,Four-Door Car,Medsize
2706,FE70473,Oregon,Basic,College,Employed,F,86641,Rural,Married,71,17,79,0,6,Personal Auto,Branch,Two-Door Car,Small
